request_id,timestamp,pickup_zone_id,pickup_zone_name,pickup_lat,pickup_lon,dropoff_zone_id,dropoff_zone_name,dropoff_lat,dropoff_lon,trip_distance_km,trip_duration_min,surge_multiplier,base_fare,total_fare,tip,driver_earnings,passenger_count,weather,hour,day_of_week,is_weekend
REQ_202609010000_7_000,2026-09-01 00:00:20,7,Marina & Golden Gate View,37.80103,-122.43668,5,Mission Nightlife & Arts,37.77376,-122.40261,4.26,11.3,1.0,15.13,15.13,0.0,11.35,1,Clear,0,1,0
REQ_202609010001_10_004,2026-09-01 00:01:09,10,Convention Center Arena,37.79214,-122.40124,6,University Campus & Med,37.7828,-122.46447,5.65,15.7,1.0,19.17,19.17,2.88,17.26,2,Clear,0,1,0
REQ_202609010001_9_001,2026-09-01 00:01:19,9,Central Railway Station,37.77466,-122.39113,8,Sunset Residential District,37.76524,-122.4775,7.66,21.4,1.0,24.78,24.78,3.72,22.3,2,Clear,0,1,0
REQ_202609010002_6_002,2026-09-01 00:02:00,6,University Campus & Med,37.76527,-122.46277,1,Downtown Financial,37.77177,-122.37785,7.5,19.6,1.0,23.86,23.86,0.0,17.9,1,Clear,0,1,0
REQ_202609010002_6_013,2026-09-01 00:02:15,6,University Campus & Med,37.7574,-122.45487,9,Central Railway Station,37.78014,-122.40813,4.82,13.8,1.0,17.01,17.01,0.0,12.76,1,Clear,0,1,0
REQ_202609010002_8_002,2026-09-01 00:02:46,8,Sunset Residential District,37.75725,-122.47858,2,Midtown Tech Hub,37.79936,-122.45405,5.15,14.1,1.0,17.71,17.71,0.0,13.28,1,Clear,0,1,0
REQ_202609010004_9_002,2026-09-01 00:04:05,9,Central Railway Station,37.78423,-122.39171,1,Downtown Financial,37.77688,-122.42426,2.98,10.2,1.0,12.43,12.43,1.86,11.18,1,Clear,0,1,0
REQ_202609010004_6_009,2026-09-01 00:04:28,6,University Campus & Med,37.76479,-122.46935,4,Waterfront & Pier Dining,37.78689,-122.41335,5.5,15.6,1.0,18.86,18.86,2.83,16.98,1,Clear,0,1,0
REQ_202609010004_7_005,2026-09-01 00:04:28,7,Marina & Golden Gate View,37.80821,-122.44865,9,Central Railway Station,37.77617,-122.39308,6.04,16.6,1.0,20.19,20.19,0.0,15.14,1,Clear,0,1,0
REQ_202609010004_3_011,2026-09-01 00:04:36,3,Metro Int'l Airport,37.61984,-122.37674,10,Convention Center Arena,37.80349,-122.41401,20.68,54.3,1.0,59.73,59.73,0.0,44.8,1,Clear,0,1,0
REQ_202609010004_5_000,2026-09-01 00:04:38,5,Mission Nightlife & Arts,37.77389,-122.40115,8,Sunset Residential District,37.75139,-122.49329,8.48,24.8,1.0,27.44,27.44,0.0,20.58,1,Clear,0,1,0
REQ_202609010005_6_012,2026-09-01 00:05:57,6,University Campus & Med,37.76491,-122.4577,5,Mission Nightlife & Arts,37.77255,-122.43079,2.51,7.6,1.0,10.68,10.68,1.6,9.61,2,Clear,0,1,0
REQ_202609010006_1_002,2026-09-01 00:06:20,1,Downtown Financial,37.78751,-122.4016,10,Convention Center Arena,37.77499,-122.40538,1.43,5.0,1.0,7.83,7.83,0.0,5.87,1,Clear,0,1,0
REQ_202609010006_4_006,2026-09-01 00:06:56,4,Waterfront & Pier Dining,37.80267,-122.41488,9,Central Railway Station,37.79131,-122.38523,2.9,8.9,1.0,11.83,11.83,0.0,8.87,1,Clear,0,1,0
REQ_202609010007_2_000,2026-09-01 00:07:34,2,Midtown Tech Hub,37.77972,-122.40606,8,Sunset Residential District,37.76293,-122.48238,6.96,19.2,1.0,22.75,22.75,0.0,17.06,1,Clear,0,1,0
REQ_202609010008_6_004,2026-09-01 00:08:23,6,University Campus & Med,37.75223,-122.46754,8,Sunset Residential District,37.76866,-122.48257,2.25,6.1,1.0,9.69,9.69,1.45,8.72,2,Clear,0,1,0
REQ_202609010011_6_006,2026-09-01 00:11:40,6,University Campus & Med,37.76091,-122.44995,4,Waterfront & Pier Dining,37.83668,-122.40172,9.43,23.8,1.0,28.81,28.81,0.0,21.61,1,Clear,0,1,0
REQ_202609010013_5_003,2026-09-01 00:13:27,5,Mission Nightlife & Arts,37.7524,-122.41151,6,University Campus & Med,37.77512,-122.47722,6.3,17.7,1.0,21.04,21.04,3.16,18.94,1,Clear,0,1,0
REQ_202609010013_3_001,2026-09-01 00:13:38,3,Metro Int'l Airport,37.61981,-122.39108,4,Waterfront & Pier Dining,37.80931,-122.42219,21.25,55.2,1.0,61.07,61.07,9.16,54.96,1,Clear,0,1,0
